Instance Type	Number of Nodes	VCPUs	ECUs	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)
c3.4xlarge	1	16	55	64000	1	1	64000	64000	64000	1788545
c3.4xlarge	1	16	55	64000	2	3	3200	32000	21333.33	872899
c3.4xlarge	1	16	55	64000	4	5	4800	16000	12800	468079
c3.4xlarge	1	16	55	64000	8	9	5600	8000	7111.11	274242
c3.4xlarge	1	16	55	64000	32	32	2000	2000	2000	193195
c3.4xlarge	1	16	55	64000	64	67	640	960	955.22	78633
c3.4xlarge	1	16	55	64000	128	134	160	480	477.61	116505
c3.4xlarge	1	16	55	64000	256					DNF
										
c3.4xlarge	2	32	110	128000	2	3	6400	64000	42666.67	1197788
c3.4xlarge	2	32	110	128000	4	5	9600	32000	25600	633348
c3.4xlarge	2	32	110	128000	8	9	11200	16000	14222.22	357083
c3.4xlarge	2	32	110	128000	32	32	4000	4000	4000	230101
c3.4xlarge	2	32	110	128000	64	67	1280	1920	1910.45	93847
c3.4xlarge	2	32	110	128000	128	134	320	960	955.22	126235
c3.4xlarge	2	32	110	128000	256					DNF
										
c3.4xlarge	4	64	220	256000	4	5	19200	64000	51200	866835
c3.4xlarge	4	64	220	256000	8	9	22400	32000	28444.44	432005
c3.4xlarge	4	64	220	256000	32	32	8000	8000	8000	161408
c3.4xlarge	4	64	220	256000	64	67	2560	3840	3820.9	46872
c3.4xlarge	4	64	220	256000	128	134	640	1920	1910.45	67841
c3.4xlarge	4	64	220	256000	256					DNF
c3.4xlarge	4	64	220	256000	512	160	1600	1600	1600	161297
										
c3.4xlarge	8	128	440	512000	4	5	38400	128000	102400	1418867
c3.4xlarge	8	128	440	512000	8	9	44800	64000	56888.89	661618
c3.4xlarge	8	128	440	512000	32	32	16000	16000	16000	249468
c3.4xlarge	8	128	440	512000	64	67	5120	7680	7641.79	45301
c3.4xlarge	8	128	440	512000	128	134	1280	3840	3820.9	56817
c3.4xlarge	8	128	440	512000	256					DNF
c3.4xlarge	8	128	440	512000	512	160	3200	3200	3200	114792
										
c3.4xlarge	16	256	880	512000	4	5	76800	256000	204800	2751084
c3.4xlarge	16	256	880	512000	8	9	89600	128000	11377.78	1296714
c3.4xlarge	16	256	880	512000	32	32	32000	32000	32000	497751
c3.4xlarge	16	256	880	512000	64	67	10240	15360	15283.58	51533
c3.4xlarge	16	256	880	512000	128	134	2560	7680	7641.79	57125
c3.4xlarge	16	256	880	512000	256	6561	16	160	156.07	1436009
c3.4xlarge	16	256	880	512000	512	160	6400	6400	6400	92588
