Instance Type	Number of Nodes	VCPUs	ECUs	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)	
c3.xlarge	1	4	14	4000	1	1	4000	4000	4000	48241	
c3.xlarge	1	4	14	4000	2	3	200	2000	1333.33	19102	
c3.xlarge	1	4	14	4000	4	5	300	1000	800	15149	
c3.xlarge	1	4	14	4000	8	9	350	500	444.44	15755	
c3.xlarge	1	4	14	4000	32	272	14.71	15	10	12827	
c3.xlarge	1	4	14	4000	64	21	50	200	190.48	6561	Only cut 80 blocks
c3.xlarge	1	4	14	4000	128	41	50	100	97.56	7470	Only cut 80 blocks
											
c3.xlarge	2	8	28	8000	2	3	400	4000	2666.67	32361	
c3.xlarge	2	8	28	8000	4	5	600	2000	1600	21394	
c3.xlarge	2	8	28	8000	8	9	700	1000	888.89	20642	
c3.xlarge	2	8	28	8000	32	272	20	30	39.41	14085	
c3.xlarge	2	8	28	8000	64	21	100	400	380.95	6212	Only cut 80 blocks
c3.xlarge	2	8	28	8000	128	41	100	200	195.12	7512	Only cut 80 blocks
c3.xlarge	2	8	28	8000	256	80	100	100	100	9734	Only cut 80 blocks
											
c3.xlarge	4	16	56	16000	2	3	800	8000	5333.33	58203	
c3.xlarge	4	16	56	16000	4	5	1200	4000	3200	24461	
c3.xlarge	4	16	56	16000	8	9	1400	2000	177.78	15286	
c3.xlarge	4	16	56	16000	32	272	40	60	58.82	13602	
c3.xlarge	4	16	56	16000	64	21	200	800	761.9	5915	Only cut 80 blocks
c3.xlarge	4	16	56	16000	128	41	200	400	390.24	6319	Only cut 80 blocks
c3.xlarge	4	16	56	16000	256	80	200	200	200	9587	Only cut 80 blocks
											
c3.xlarge	8	32	112	32000	4	5	2400	8000	6400	40062	
c3.xlarge	8	32	112	32000	8	9	2800	4000	3555.56	22134	
c3.xlarge	8	32	112	32000	32	272	80	120	117.65	14378	
c3.xlarge	8	32	112	32000	64	21	400	1600	1523.81	5947	Only cut 80 blocks
c3.xlarge	8	32	112	32000	128	41	400	800	780.49	6458	Only cut 80 blocks
c3.xlarge	8	32	112	32000	256	80	400	400	400	10514	Only cut 80 blocks
c3.xlarge	8	32	112	32000	512	1	32000	32000	32000	7422	Only cut 80 blocks
