Instance Type,VCPUs,ECUs,Number of Nodes,Number of Blocks,Requested Partitions,Actual Partitions,Min Volume,Max Volume,Average Volume,Running Time (msec.)
c3.8xlarge,32,108,1,256000,4,5,19200,64000,51200,2272087.618687
c3.8xlarge,32,108,1,256000,8,9,22400,32000,28444.44,1296161.738749
c3.8xlarge,32,108,1,256000,32,34,2560,7680,7529.41,843381.078022
c3.8xlarge,32,108,1,256000,64,67,2560,3840,3820.9,717592.157499
c3.8xlarge,32,108,1,256000,128,134,640,1920,1910.45,548573.621185
,,,,,,,,,,
c3.8xlarge,64,216,2,512000,4,5,38400,128000,102400,2278066.511896
c3.8xlarge,64,216,2,512000,8,9,44800,64000,56888.89,1259219.89778
c3.8xlarge,64,216,2,512000,32,34,5120,15360,15058.82,888853.72267
c3.8xlarge,64,216,2,512000,64,67,5120,7680,7641.79,899791.937645
c3.8xlarge,64,216,2,512000,128,134,1280,3840,3820.9,588957.347822
