Instance Type	Number of Nodes	VCPUs	ECUs	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)
c3.4xlarge	1	16	55	4000	1	1	4000	4000	4000	43293
c3.4xlarge	1	16	55	4000	2	3	200	2000	1333.33	14214
c3.4xlarge	1	16	55	4000	4	5	300	1000	800	7688
c3.4xlarge	1	16	55	4000	8	9	350	500	444.44	6344
c3.4xlarge	1	16	55	4000	32	272	10	15	14.71	7320
c3.4xlarge	1	16	55	4000	64	21	50	200	190.48	7023
c3.4xlarge	1	16	55	4000	128	41	50	100	97.56	7343
										
c3.4xlarge	2	32	110	8000	2	3	400	4000	2666.67	23441
c3.4xlarge	2	32	110	8000	4	5	600	2000	1600	11655
c3.4xlarge	2	32	110	8000	8	9	700	1000	888	8137
c3.4xlarge	2	32	110	8000	32	272	20	30	29.41	7816
c3.4xlarge	2	32	110	8000	64	21	100	400	380.95	8367
c3.4xlarge	2	32	110	8000	128	41	100	200	195.12	8263
c3.4xlarge	2	32	110	8000	256	80	100	100	100	11000
										
c3.4xlarge	4	64	220	16000	4	5	1200	4000	3200	21810
c3.4xlarge	4	64	220	16000	8	9	1400	2000	1777.78	10976
c3.4xlarge	4	64	220	16000	32	272	40	60	58.82	7753
c3.4xlarge	4	64	220	16000	64	21	200	800	761.9	7795
c3.4xlarge	4	64	220	16000	128	41	200	400	390.24	7490
c3.4xlarge	4	64	220	16000	256	80	200	200	200	10465
c3.4xlarge	4	64	220	16000	512	1	16000	16000	16000	168791
										
c3.4xlarge	8	128	440	32000	4	5	2400	8000	6400	33661
c3.4xlarge	8	128	440	32000	8	9	2800	4000	3555.56	19879
c3.4xlarge	8	128	440	32000	32	272	80	120	117.65	7761
c3.4xlarge	8	128	440	32000	64	21	400	1600	1523.81	11031
c3.4xlarge	8	128	440	32000	128	41	400	800	780.49	9265
c3.4xlarge	8	128	440	32000	256	80	400	400	400	11440
c3.4xlarge	8	128	440	32000	512	1	32000	32000	32000	DNF
										
c3.4xlarge	16	256	880	64000	4	5	4800	16000	12800	75286
c3.4xlarge	16	256	880	64000	8	9	5600	8000	7111.11	37867
c3.4xlarge	16	256	880	64000	32	272	160	240	235.29	10236
c3.4xlarge	16	256	880	64000	64	21	800	3200	3047.62	22827
c3.4xlarge	16	256	880	64000	128	41	800	1600	1560.98	16145
c3.4xlarge	16	256	880	64000	256	80	800	800	800	14992
c3.4xlarge	16	256	880	64000	512	1	64000	64000	64000	777831
