Instance Type	VCPUs	ECUs	Number of Nodes	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)
c3.8xlarge	32	108	1	64000	1	1	64000	64000	64000	1749590.338166
c3.8xlarge	32	108	1	64000	4	5	4800	16000	12800	452880.622199
c3.8xlarge	32	108	1	64000	8	9	5600	8000	7111.11	369291.594885
c3.8xlarge	32	108	1	64000	32	32	2000	2000	2000	114215.911202
c3.8xlarge	32	108	1	64000	64	67	640	960	955.22	56940.156019
c3.8xlarge	32	108	1	64000	128	132	160	480	477.61	80193.31892
