Instance Type	Number of Nodes	VCPUs	ECUs	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)
c3.xlarge	1	4	14	32000	1	1	32000	32000	32000	907437
c3.xlarge	1	4	14	32000	2	3	1500	16000	10666.67	493134
c3.xlarge	1	4	14	32000	4	5	2250	8000	6400	379347
c3.xlarge	1	4	14	32000	8	9	1750	4000	3555.56	358574
c3.xlarge	1	4	14	32000	32	32	1000	1000	1000	235862
c3.xlarge	1	4	14	32000	64	64	500	500	500	217699
c3.xlarge	1	4	14	32000	128	128	250	250	250	472773
										
c3.xlarge	2	8	28	64000	2	3	3000	32000	21333.33	952159
c3.xlarge	2	8	28	64000	4	5	4500	16000	12800	715894
c3.xlarge	2	8	28	64000	8	9	3500	8000	7111.11	688191
c3.xlarge	2	8	28	64000	32	32	2000	2000	2000	409817
c3.xlarge	2	8	28	64000	64	64	1000	1000	1000	291217
c3.xlarge	2	8	28	64000	128	128	500	500	500	487754
										
c3.xlarge	4	16	56	128000	2	3	6000	32000	42666.67	1366198
c3.xlarge	4	16	56	128000	4	5	9000	32000	25600	776911
c3.xlarge	4	16	56	128000	8	9	7000	16000	14222.22	444156
c3.xlarge	4	16	56	128000	32	32	4000	4000	4000	356173
c3.xlarge	4	16	56	128000	64	64	2000	2000	2000	172795
c3.xlarge	4	16	56	128000	128	128	1000	1000	1000	214664
										
c3.xlarge	8	32	112	256000	4	5	18000	64000	51200	1312186
c3.xlarge	8	32	112	256000	8	9	14000	32000	28444.44	816780
c3.xlarge	8	32	112	256000	32	32	8000	8000	8000	406058
c3.xlarge	8	32	112	256000	64	64	4000	4000	4000	196314
c3.xlarge	8	32	112	256000	128	128	2000	2000	2000	132034
c3.xlarge	8	32	112	256000	256					DNF
c3.xlarge	8	32	112	256000	512	1	256000	256000	256000	DNF
										
c3.xlarge	16	64	224	512000	4	5	36000	128000	102400	2992196
c3.xlarge	16	64	224	512000	8	9	28000	64000	56888.89	2266390
c3.xlarge	16	64	224	512000	32	32	16000	16000	16000	485435
c3.xlarge	16	64	224	512000	64	64	8000	8000	8000	200927
c3.xlarge	16	64	224	512000	128	128	4000	4000	4000	121949
c3.xlarge	16	64	224	512000	256					DNF
c3.xlarge	16	64	224	512000	512	1	512000	512000	512000	DNF
